Note ON: Channel: 1, Note: 60, Velocity: 127
Control Change: Channel: 1, Control: 7, Value: 29
Control Change: Channel: 1, Control: 2, Value: 37
Control Change: Channel: 1, Control: 7, Value: 37
Control Change: Channel: 1, Control: 2, Value: 47
Control Change: Channel: 1, Control: 7, Value: 47
Control Change: Channel: 1, Control: 2, Value: 55
Control Change: Channel: 1, Control: 7, Value: 55
Control Change: Channel: 1, Control: 2, Value: 63
Control Change: Channel: 1, Control: 7, Value: 63
Control Change: Channel: 1, Control: 2, Value: 69
Control Change: Channel: 1, Control: 7, Value: 69
Control Change: Channel: 1, Control: 2, Value: 77
Control Change: Channel: 1, Control: 7, Value: 77
Control Change: Channel: 1, Control: 2, Value: 83
Control Change: Channel: 1, Control: 7, Value: 83
Control Change: Channel: 1, Control: 2, Value: 89
Control Change: Channel: 1, Control: 7, Value: 89
Control Change: Channel: 1, Control: 2, Value: 95
Control Change: Channel: 1, Control: 7, Value: 95
Control Change: Channel: 1, Control: 2, Value: 101
Control Change: Channel: 1, Control: 7, Value: 101
Control Change: Channel: 1, Control: 2, Value: 109
Control Change: Channel: 1, Control: 7, Value: 109
Control Change: Channel: 1, Control: 2, Value: 115
Control Change: Channel: 1, Control: 7, Value: 115
Control Change: Channel: 1, Control: 2, Value: 121
Control Change: Channel: 1, Control: 7, Value: 121
Control Change: Channel: 1, Control: 2, Value: 127
Control Change: Channel: 1, Control: 7, Value: 127
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 120
Control Change: Channel: 1, Control: 7, Value: 120
Control Change: Channel: 1, Control: 2, Value: 116
Control Change: Channel: 1, Control: 7, Value: 116
Control Change: Channel: 1, Control: 2, Value: 112
Control Change: Channel: 1, Control: 7, Value: 112
Control Change: Channel: 1, Control: 2, Value: 110
Control Change: Channel: 1, Control: 7, Value: 110
Control Change: Channel: 1, Control: 2, Value: 108
Control Change: Channel: 1, Control: 7, Value: 108
Control Change: Channel: 1, Control: 2, Value: 106
Control Change: Channel: 1, Control: 7, Value: 106
Control Change: Channel: 1, Control: 2, Value: 104
Control Change: Channel: 1, Control: 7, Value: 104
Control Change: Channel: 1, Control: 2, Value: 102
Control Change: Channel: 1, Control: 7, Value: 102
Control Change: Channel: 1, Control: 2, Value: 98
Control Change: Channel: 1, Control: 7, Value: 98
Control Change: Channel: 1, Control: 2, Value: 96
Control Change: Channel: 1, Control: 7, Value: 96
Control Change: Channel: 1, Control: 2, Value: 94
Control Change: Channel: 1, Control: 7, Value: 94
Control Change: Channel: 1, Control: 2, Value: 92
Control Change: Channel: 1, Control: 7, Value: 92
Control Change: Channel: 1, Control: 2, Value: 90
Control Change: Channel: 1, Control: 7, Value: 90
Control Change: Channel: 1, Control: 2, Value: 86
Control Change: Channel: 1, Control: 7, Value: 86
Control Change: Channel: 1, Control: 2, Value: 82
Control Change: Channel: 1, Control: 7, Value: 82
Control Change: Channel: 1, Control: 2, Value: 80
Control Change: Channel: 1, Control: 7, Value: 80
Control Change: Channel: 1, Control: 2, Value: 76
Control Change: Channel: 1, Control: 7, Value: 76
Control Change: Channel: 1, Control: 2, Value: 72
Control Change: Channel: 1, Control: 7, Value: 72
Control Change: Channel: 1, Control: 2, Value: 68
Control Change: Channel: 1, Control: 7, Value: 68
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 62
Control Change: Channel: 1, Control: 7, Value: 62
Control Change: Channel: 1, Control: 2, Value: 58
Control Change: Channel: 1, Control: 7, Value: 58
Control Change: Channel: 1, Control: 2, Value: 54
Control Change: Channel: 1, Control: 7, Value: 54
Control Change: Channel: 1, Control: 2, Value: 50
Control Change: Channel: 1, Control: 7, Value: 50
Control Change: Channel: 1, Control: 2, Value: 48
Control Change: Channel: 1, Control: 7, Value: 48
Control Change: Channel: 1, Control: 2, Value: 44
Control Change: Channel: 1, Control: 7, Value: 44
